model,MAE,RMSE,R2,train_time_s,inference_time_s,inference_time_per_sample_s,n_features,removed_low_variance_columns,params_json,search_strategy,selected_by,n_configs_evaluated,search_time_s
ExtraTrees,40.61118998818026,55.20440393706001,0.612621843440094,15.054856099995959,0.22424039999896195,1.8757038895772643e-05,25,,"{""max_depth"": 20, ""min_samples_leaf"": 3, ""n_estimators"": 400}",limited_random_search,RMSE_validation,12,173.06169879999652
ExtraTrees,40.61829056459903,55.204819399975975,0.6126160126783198,10.725429799997073,0.18217839999852004,1.5238678377124218e-05,25,,"{""max_depth"": 20, ""min_samples_leaf"": 3, ""n_estimators"": 300}",limited_random_search,RMSE_validation,12,173.06169879999652
ExtraTrees,40.70790462620113,55.21806127218866,0.6124301483086003,19.90382540000428,0.31728750000183936,2.654015056477117e-05,25,,"{""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 400}",limited_random_search,RMSE_validation,12,173.06169879999652
ExtraTrees,40.71429590632352,55.224666911168605,0.6123374141707587,15.859806200001913,0.21210099999734666,1.774161438706371e-05,25,,"{""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 300}",limited_random_search,RMSE_validation,12,173.06169879999652
ExtraTrees,40.62022945581702,55.37723168149178,0.6101925266629507,18.349212599998282,0.3811260000002221,3.188005018822435e-05,25,,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 400}",limited_random_search,RMSE_validation,12,173.06169879999652
ExtraTrees,40.62897786269276,55.39471282881021,0.6099463837191526,13.150325800001156,0.2019776000015554,1.6894822250234664e-05,25,,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}",limited_random_search,RMSE_validation,12,173.06169879999652
ExtraTrees,40.83118304753938,55.54705376824132,0.6077980616756744,21.932454900001176,0.49917070000083186,4.175413634469526e-05,25,,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",limited_random_search,RMSE_validation,12,173.06169879999652
ExtraTrees,40.828638854035965,55.55018958980707,0.6077537781384488,32.260201199998846,0.5642590999996173,4.7198586365505424e-05,25,,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 400}",limited_random_search,RMSE_validation,12,173.06169879999652
ExtraTrees,44.28170849098487,57.354726299797576,0.5818557766741337,4.768467099995178,0.08935629999905359,7.474387285575374e-06,25,,"{""max_depth"": 10, ""min_samples_leaf"": 1, ""n_estimators"": 300}",limited_random_search,RMSE_validation,12,173.06169879999652
ExtraTrees,44.327463042083146,57.41286906779804,0.581007568089091,4.410637200002384,0.07908790000510635,6.615466332505759e-06,25,,"{""max_depth"": 10, ""min_samples_leaf"": 3, ""n_estimators"": 300}",limited_random_search,RMSE_validation,12,173.06169879999652
ExtraTrees,44.44422794667887,57.51383286470555,0.5795326282833067,6.452585999999428,0.12075600000389386,1.0100878293926714e-05,25,,"{""max_depth"": 10, ""min_samples_leaf"": 1, ""n_estimators"": 400}",limited_random_search,RMSE_validation,12,173.06169879999652
ExtraTrees,44.453353225057796,57.525349385631515,0.5793642233673068,6.5759834999989835,0.12080280000373023,1.0104792973963215e-05,25,,"{""max_depth"": 10, ""min_samples_leaf"": 3, ""n_estimators"": 400}",limited_random_search,RMSE_validation,12,173.06169879999652
HistGradientBoosting,41.96933396335192,56.12516713127054,0.599591790962718,1.043190999997023,0.06330589999561198,5.295349225898116e-06,25,,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 6, ""max_iter"": 200}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,41.99383733321495,56.17249571555677,0.5989162029894088,0.925459400001273,0.05339480000111507,4.466315349319538e-06,25,,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 6, ""max_iter"": 200}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,41.74076742874468,56.23868991879961,0.5979703641020937,1.4277574000007007,0.08161960000143154,6.827235466451822e-06,25,,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 300}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,41.699208285595404,56.32656412596166,0.5967130220131194,1.0133224000019254,0.05712169999605976,4.778059389047241e-06,25,,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 200}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,41.60746500287244,56.35401131014103,0.5963198935117004,1.117387400001462,0.07221869999921182,6.040878293535075e-06,25,,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 300}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,41.45710660892505,56.36241176838155,0.5961995347103776,1.2176183999981731,0.08024999999906868,6.712672521879438e-06,25,,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 300}",limited_random_search,RMSE_validation,20,22.12712779999856
HistGradientBoosting,41.762139984690336,56.40427867994804,0.595599412862494,0.9287849999964237,0.060163900001498405,5.0325303221663244e-06,25,,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 8, ""max_iter"": 200}",limited_random_search,RMSE_validation,20,22.12712779999856
