model_short,approach,MAE,RMSE,R2,train_time_s,search_time_s,inference_time_s,inference_time_per_sample_s,n_features,is_pareto_optimal
LightGBM,Traditional baseline,26.816648037674373,37.69927794981991,0.5219273041860353,1.0933181000000332,21.636170600002515,0.0031949000040185,1.2882661306526466e-05,25,True
LightGBM NSGA-II T54,NSGA-II,28.36657886865141,37.723714817724186,0.521307324901944,1.288025000001653,61.35505849999754,0.0026201000000583,1.0564919355073794e-05,25,True
ExtraTrees,Traditional baseline,27.218999118140317,37.73766223126585,0.5209532898355975,17.51822810000158,173.06169879999652,0.1041447999959928,0.0004199387096612,25,False
H2O Stacked Ensemble,H2O AutoML,26.830737474973976,37.77721650054237,0.5199485496537339,3.256,4165.821960500005,0.2286782000010134,0.0009220895161331,25,False
HistGradientBoosting,Traditional baseline,28.624886534680243,38.57183322612654,0.4995410774296908,1.2172492000026978,22.12712779999856,0.0053741000010631,2.1669758068803215e-05,25,False
XGBoost,Traditional baseline,27.426362991333008,38.57489101471157,0.4994617104530334,1.2506431000001612,26.534577899998112,0.0033220999976038,1.3395564506466936e-05,25,False
RandomForest,Traditional baseline,28.829888250953083,39.0040462791928,0.4882625483755302,33.59110010000586,383.7944934000043,0.0572156999987782,0.000230708467737,25,False
LightGBM NSGA-II T57,NSGA-II,28.811117697329998,39.05623285798698,0.4868922447633308,0.8376533999980893,61.35505849999754,0.0028390000006766,1.144758064788954e-05,25,True
LightGBM NSGA-II T14,NSGA-II,30.106777002794168,39.23672360689184,0.4821388321319215,0.7815247000035015,61.35505849999754,0.0024193999997805,9.755645160405568e-06,25,True
LightGBM NSGA-II T51,NSGA-II,30.78493053166244,39.23793529397096,0.4821068470262842,0.5999209000001429,61.35505849999754,0.0024533000032533,9.892338722795924e-06,25,True
LightGBM NSGA-II T59,NSGA-II,30.08167232387382,39.24963903305645,0.4817978506298308,0.7896305999965989,61.35505849999754,0.003328099999635,1.3419758063044417e-05,25,False
LightGBM NSGA-II T41,NSGA-II,28.89898949030349,39.30685591368446,0.4802859120437497,0.6762997999976506,61.35505849999754,0.0020965000003343,8.45362903360623e-06,25,True
LightGBM NSGA-II T27,NSGA-II,28.49962459309576,39.58321293029235,0.472952253139324,0.4042403000057675,61.35505849999754,0.0018433000004733,7.432661292231417e-06,25,True
LightGBM NSGA-II T37,NSGA-II,28.394994360286017,39.73471914639837,0.4689099422573679,0.5775064999979804,61.35505849999754,0.0021971000023768,8.859274203132372e-06,25,False
Ridge,Traditional baseline,38.31543054500729,46.79123263917681,0.2635269686377248,0.0457153000024845,0.173774199996842,0.0018079000001307,7.289919355365958e-06,25,True
LightGBM NSGA-II T53,NSGA-II,42.90047758983616,51.33729454334901,0.1134691939362053,0.3554401000001235,61.35505849999754,0.0021368000016082,8.616129038742773e-06,25,False
