model_short,approach,MAE,RMSE,R2,train_time_s,search_time_s,inference_time_s,inference_time_per_sample_s,n_features,is_pareto_optimal
LightGBM,Traditional baseline,26.82,37.7,0.522,1.093,21.636,0.003195,1.2882661306526466e-05,25,True
LightGBM NSGA-II T54,NSGA-II,28.37,37.72,0.521,1.288,61.355,0.00262,1.0564919355073794e-05,25,True
ExtraTrees,Traditional baseline,27.22,37.74,0.521,17.518,173.062,0.104145,0.0004199387096612,25,False
H2O Stacked Ensemble,H2O AutoML,26.83,37.78,0.52,3.256,4165.822,0.228678,0.0009220895161331,25,False
HistGradientBoosting,Traditional baseline,28.62,38.57,0.5,1.217,22.127,0.005374,2.1669758068803215e-05,25,False
XGBoost,Traditional baseline,27.43,38.57,0.499,1.251,26.535,0.003322,1.3395564506466936e-05,25,False
RandomForest,Traditional baseline,28.83,39.0,0.488,33.591,383.794,0.057216,0.000230708467737,25,False
LightGBM NSGA-II T57,NSGA-II,28.81,39.06,0.487,0.838,61.355,0.002839,1.144758064788954e-05,25,True
LightGBM NSGA-II T14,NSGA-II,30.11,39.24,0.482,0.782,61.355,0.002419,9.755645160405568e-06,25,True
LightGBM NSGA-II T51,NSGA-II,30.78,39.24,0.482,0.6,61.355,0.002453,9.892338722795924e-06,25,True
LightGBM NSGA-II T59,NSGA-II,30.08,39.25,0.482,0.79,61.355,0.003328,1.3419758063044417e-05,25,False
LightGBM NSGA-II T41,NSGA-II,28.9,39.31,0.48,0.676,61.355,0.002097,8.45362903360623e-06,25,True
LightGBM NSGA-II T27,NSGA-II,28.5,39.58,0.473,0.404,61.355,0.001843,7.432661292231417e-06,25,True
LightGBM NSGA-II T37,NSGA-II,28.39,39.73,0.469,0.578,61.355,0.002197,8.859274203132372e-06,25,False
Ridge,Traditional baseline,38.32,46.79,0.264,0.046,0.174,0.001808,7.289919355365958e-06,25,True
LightGBM NSGA-II T53,NSGA-II,42.9,51.34,0.113,0.355,61.355,0.002137,8.616129038742773e-06,25,False
