model_id,rmse,mse,mae,rmsle,mean_residual_deviance,training_time_ms,predict_time_per_row_ms,algo,run_project_name
StackedEnsemble_AllModels_1_AutoML_1_20260602_104941,48.76143151525426,2377.677203416831,34.37174058788612,,2377.677203416831,3256,0.060961,StackedEnsemble,cmapss_FD004_h2o_maxmodels_30_seed_42_final
StackedEnsemble_BestOfFamily_1_AutoML_1_20260602_104941,48.884246119350415,2389.669518657226,34.473209350169014,,2389.669518657226,1425,0.023222,StackedEnsemble,cmapss_FD004_h2o_maxmodels_30_seed_42_final
GBM_1_AutoML_1_20260602_104941,49.22043969031077,2422.65168330752,34.757593011948444,,2422.65168330752,3045,0.00811,GBM,cmapss_FD004_h2o_maxmodels_30_seed_42_final
GBM_3_AutoML_1_20260602_104941,49.261479582654445,2426.6933706722807,34.868862486587865,,2426.6933706722807,2224,0.008323,GBM,cmapss_FD004_h2o_maxmodels_30_seed_42_final
XRT_1_AutoML_1_20260602_104941,49.27876416954503,2428.3965980776347,35.04336256326347,0.4064733130228583,2428.3965980776347,20429,0.009691,DRF,cmapss_FD004_h2o_maxmodels_30_seed_42_final
GBM_grid_1_AutoML_1_20260602_104941_model_5,49.29526313815797,2430.022967860235,34.81820018101932,,2430.022967860235,2193,0.008636,GBM,cmapss_FD004_h2o_maxmodels_30_seed_42_final
GBM_4_AutoML_1_20260602_104941,49.39226650570282,2439.5959905703726,34.89220802199516,,2439.5959905703726,2085,0.006526,GBM,cmapss_FD004_h2o_maxmodels_30_seed_42_final
GBM_2_AutoML_1_20260602_104941,49.3965522572403,2440.019374902272,35.05214340509245,,2440.019374902272,2098,0.008893,GBM,cmapss_FD004_h2o_maxmodels_30_seed_42_final
DRF_1_AutoML_1_20260602_104941,49.42390712279287,2442.722595282456,35.18583712663331,0.4071133085320072,2442.722595282456,16935,0.010479,DRF,cmapss_FD004_h2o_maxmodels_30_seed_42_final
GBM_grid_1_AutoML_1_20260602_104941_model_8,49.55754116639656,2455.949886459089,35.11050301936022,,2455.949886459089,2477,0.004478,GBM,cmapss_FD004_h2o_maxmodels_30_seed_42_final
GBM_5_AutoML_1_20260602_104941,49.68305028446228,2468.405485568408,35.35452745049496,,2468.405485568408,2472,0.009006,GBM,cmapss_FD004_h2o_maxmodels_30_seed_42_final
